title,publish date,abstract
Concentrations of select dissolved trace elements and anthropogenic organic compounds in the Mississippi River and major tributaries during the summer of 2012 and 2013,Feb 2017,"The Mississippi River drainage basin includes the Illinois, Missouri, Ohio, Tennessee, and Arkansas rivers. These rivers drain areas with different physiography, population centers, and land use, with each contributing a different suites of metals and wastewater contaminants that can affect water quality. In July 2012, we determined 18 elements (Be, Rb, Sr, Cd, Cs, Ba, Tl, Pb, Mg, Al, V, Cr, Mn, Fe, Co, Ni, Cu, Zn) and chlorophyll-a (Chl-a) in the five major tributaries and in the Upper Mississippi River. The following summer, we determined both trace elements and 25 trace organic compounds at 10 sites in a longitudinal study of the main stem of the Mississippi River from Grafton, Illinois to Natchez, Mississippi. We detected wastewater contaminants, including pharmaceuticals and endocrine disrupting compounds, throughout the river system, with the highest concentrations occurring near urban centers (St. Louis and Memphis). Concentrations were highest for atrazine (673 ng L⁻¹), DEET (540 ng L⁻¹), TCPP (231 ng L⁻¹), and caffeine (202 ng L⁻¹). The Illinois, Missouri, and Yazoo rivers, which drain areas with intense agriculture, had relatively high concentrations of Chl-a and atrazine. However, the Ohio River delivered higher loads of contaminants to the Mississippi River, including an estimated 177 kg day⁻¹ of atrazine, due to higher flow volumes. Concentrations of heavy metals (Ni, V, Co, Cu, Cd, and Zn) were relatively high in the Illinois River and low in the Ohio River, although dissolved metal concentrations were below US EPA maximum contaminant levels for surface water. Multivariate analysis demonstrated that the rivers can be distinguished based on elemental and contaminant profiles."
Common deregulated gene expression profiles and morphological changes in developing zebrafish larvae exposed to environmental-relevant high to low concentrations of glucocorticoids,Jan 2017,"Synthetic glucocorticoids have been detected in environmental waters and their biological potency have raised concerns of their impact on aquatic vertebrates especially fish. In this study, developing zebrafish larvae exposed to representative glucocorticoids (dexamethasone, prednisolone and triamcinolone) at 50 pM to 50 nM from 3 h post-fertilisation to 5 days post-fertilisation were investigated. Microarray analysis identified 1255, 1531, and 2380 gene probes, which correspondingly mapped to 660, 882 and 1238 human/rodent homologs, as deregulated by dexamethasone, prednisolone and triamcinolone, respectively. A total of 248 gene probes which mapped to 159 human/rodent homologs were commonly deregulated by the three glucocorticoids. These homologs were associated with over 20 molecular functions from cell cycle to cellular metabolisms, and were involved in the development and function of connective tissue, nervous, haematological, and digestive systems. Glucocorticoid receptor signalling, NRF2-mediated oxidative stress response and RAR signalling were among the top perturbed canonical pathways. Morphological analyses using four transgenic zebrafish lines revealed that the hepatic and endothelial-vascular systems were affected by all three glucocorticoids while nervous, pancreatic and myeloid cell systems were affected by one of them. Quantitative real-time PCR detected significant change in the expression of seven genes at 50 pM of all three glucocorticoids, a concentration comparable to total glucocorticoids reported in environmental waters. Three genes (cry2b, fbxo32, and klhl38b) responded robustly to all glucocorticoid concentrations tested. The common deregulated genes with the associated biological processes and morphological changes can be used for biological inference of glucocorticoid exposure in fish for future studies."
"Analysis of Haloacetic acids, Bromate, and Dalapon in Natural Waters by Ion Chromatography–Tandem Mass Spectrometry",Jan 2017,"The addition of oxidants for disinfecting water can lead to the formation of potentially carcinogenic compounds referred to as disinfection byproducts (DBPs). Haloacetic acids (HAAs) are one of the most widely detected DBPs in US water utilities and some of them are regulated by the US Environmental Protection Agency (USEPA). The present study developed a method to analyze all the compounds in the USEPA method 557 (nine HAAs, bromate and dalapon) plus four potentially more toxic iodinated HAAs in water by coupling ion chromatography with tandem mass spectrometry (IC-MS/MS). This aqueous direct injection method has significant advantages over traditional GC methods, which require a derivatization and sample extraction that are laborious, time-consuming, and can negatively impact reproducibility. The method developed in this study requires half the time of the current USEPA method 557 on IC–MS/MS while including more compounds and achieving sub-μg/L level method detection limits (MDLs) for all 15 target analytes. The single laboratory lowest concentration minimum reporting level (LCMRL) has also been determined in reagent water, which ranged from 0.011 to 0.62 μg/L for the analytes. The mean recoveries of the analytes during matrix spike recovery tests were 77–125% in finished drinking water and 81–112% in surface water. This method was then applied to untreated, chlorinated, and chloraminated groundwater and surface water samples. Bromate and 9 HAAs were detected at different levels in some of these samples."
Spatial Models of Sewer Pipe Leakage Predict the Occurrence of Wastewater Indicators in Shallow Urban Groundwater,Dec 2016,"Twentieth century municipal wastewater infrastructure greatly improved U.S. urban public health and water quality. However, sewer pipes deteriorate and their accumulated structural defects may release untreated wastewater to the environment via acute breaks or insidious exfiltration. Exfiltrated wastewater constitutes a loss of potentially reusable water and delivers a complex and variable mix of contaminants to urban shallow groundwater. Yet, predicting where deteriorated sewers impinge on shallow groundwater has been challenging. Here we develop and test a spatially explicit model of exfiltration probability based on pipe attributes and groundwater elevation without prior knowledge of exfiltrating defect locations. We find that models of exfiltration probability can predict the probable occurrence in underlying shallow groundwater of established wastewater indicators including the artificial sweetener acesulfame, tryptophan-like fluorescent dissolved organic matter, nitrate, and a stable isotope of water (δ18O). The strength of the association between exfiltration probability and indicators of wastewater increased when multiple pipe attributes, distance weighting, and groundwater flow direction were considered in the model. The results prove that available sanitary sewer databases and groundwater digital elevation data can be analyzed to predict where pipes are likely leaking and contaminating groundwater. Such understanding could direct sewer infrastructure reinvestment towards water resource protection."
Pre-ozonation for high recovery of nanofiltration (NF) membrane system: Membrane fouling reduction and trace organic compound attenuation,Sep 2016,"This study demonstrated the use of nanofiltration (NF) membrane with pre-ozonation for surface water brine treatment. Pre-ozonation, used for fouling control, with relatively low ozone doses (0.1−0.4 mg O3/mg DOC ratios) significantly reduced organic fouling potential. A classical pore blocking model revealed that the dominant fouling mechanism was cake filtration. Based on a statistical correlation test, macromolecules (apparent molecular weight >10k Da) of typtophan-like aromatic protein and soluble microbial-like matter exhibited strong correlation to fouling potential. Small molecules (<1600 Da) of UV-absorbing matter were also correlated with fouling potential whereas bulk parameters such as SUVA displayed relatively lower correlation with fouling potential. Trace organic compound (TOrC) attenuation by ozone, membranes, and combination of ozone and membranes were also examined. Greater than 70% removal of the 17 TOrCs was achieved at 0.4 mg O3/mg DOC ratio. The NF membrane (NF90) alone also could remove more than 90% of TOrCs. When pre-ozonation was performed with the NF membrane, all TOrCs tested were removed to less than the limits of detection. In conclusion, the application of pre-ozonation to NF membrane not only can alleviate organic fouling potential, but also can function as a dual barrier for ensuring removal of TOrCs for water treatment."
"Critical assessment of the ubiquitous occurrence and fate of the insect repellent N,N-diethyl-m-toluamide in water",Sep 2016,"The insect repellent diethyltoluamide (DEET) is among the most frequently detected organic chemical contaminants in water across a wide range of geographies from around the world. These observations are raising critical questions and increasing concerns regarding potential environmental relevance, particularly when the emergence of severe neurological conditions attributed to the Zika virus has increased the use of insect repellents. After dermal application, DEET is washed from the skin when bathing and enters the municipal sewer system before discharge into the environment. Mainly measured by gas chromatography or liquid chromatography coupled to mass spectrometry (GC-MS or LC-MS), more than 200 peer-reviewed publications have already reported concentrations of DEET ranging ng/L to mg/L in several water matrices from North America, Europe, Asia, Oceania, and more recently Africa and South America. While conventional wastewater treatment technology has limited capacity of removal, advanced technologies are capable of better attenuation and could lower the environmental discharge of organic contaminants, including DEET. For instance, adsorption on activated carbon, desalinating membrane processes (nanofiltration and reverse osmosis), ozonation, and advanced oxidation processes can achieve 50% to essentially 100% DEET attenuation. Despite the abundant literature on the topic, the ubiquity of DEET in the environment still raises questions due to the apparent lack of obvious spatio-temporal trends in concentrations measured in surface water, which does not fit the expected usage pattern of insect repellents. Moreover, two recent studies showed discrepancies between the concentrations obtained by GC-MS and LC-MS analyses. While the occurrence of DEET in the environment is well established, the concentrations reported should be interpreted cautiously, considering the disparities in methodologies applied and occurrence patterns observed. Therefore, this manuscript provides a critical overview of the origin of DEET in the environment, the relevant analytical methods, the occurrence reported in peer-reviewed literature, and the attenuation efficacy of water treatment processes."
Online solid phase extraction with liquid chromatography-tandem mass spectrometry for determination of estrogens and glucocorticoids in water,Aug 2016,"The present work describes the development of a novel fully automated online solid phase extraction (SPE) coupled with high performance liquid chromatography-tandem mass spectrometry (LC-MS/MS) using negative electrospray ionisation (ESI) for the simultaneous determination of six estrogens and six glucocorticoids in water. Filtered water samples (5mL) were preconcentrated on a HyperSep™ Retain PEP SPE cartridge, eluted in back-flush mode, and separated on an LC column before analysis by tandem mass spectrometry. The total analysis time for each sample was 17min. Different experimental parameters such as the type of online SPE cartridge, loading flow rate, and composition of methanol in the loading phase were optimised. The intra-day repeatability of method ranged from 1.48 to 9.68% for all analytes, and the inter-day reproducibility ranged from 2.03 to 8.63% for all analytes, except for dexamethasone at 11.95%. These were calculated based on the peak area responses of the targeted analytes spiked at 50ng/L in ultrapure water. The method also showed good linearity from 1 to 100ng/L, with the limits of detection (LODs) ranging from 0.16 to 2.14ng/L. The proposed method was applied to the analysis of municipal wastewater. This fully automated online SPE extraction coupled with LC-MS/MS method is effective and reliable to measure estrogens and glucocorticoids simultaneously due to its high throughput, relatively low solvent consumption, reusability of the online SPE cartridge, and reduction of manual labor."
Predicting trace organic compound attenuation with spectroscopic parameters in powdered activated carbon processes,Aug 2016,"The removal of trace organic compounds (TOrCs) is of growing interest in water research and society. Powdered activated carbon (PAC) has been proven to be an effective method of removal for TOrCs in water, with the degree of effectiveness depending on dosage, contact time, and activated carbon type. In this study, the attenuation of TOrCs in three different secondary wastewater effluents using four PAC materials was studied in order to elucidate the effectiveness and efficacy of PAC for TOrC removal. With the notable exception of hydrochlorothiazide, all 14 TOrC indicators tested in this study exhibited a positive correlation of removal rate with their log Dow values, demonstrating that the main adsorption mechanism was hydrophobic interaction. As a predictive model, the modified Chick-Watson model, often used for the prediction of microorganism inactivation by disinfectants, was applied. The applied model exhibited good predictive power for TOrC attenuation by PAC in wastewater. In addition, surrogate models based upon spectroscopic measurements including UV absorbance at 254 nm and total fluorescence were applied to predict TOrC removal by PAC. The surrogate model was found to provide an excellent prediction of TOrC attenuation for all combinations of water quality and PAC type included in this study. The success of spectrometric parameters as surrogates in predicting TOrC attenuation by PAC are particularly useful because of their potential application in real-time on-line sensor monitoring and process control at full-scale water treatment plants, which could lead to significantly reduced operator response times and PAC operational optimization."
2016 EST UVH2O2 SI,Jun 2016,no abstract provided
Phenyl-functionalized magnetic palm-based powdered activated carbon for the effective removal of selected pharmaceutical and endocrine-disruptive compounds,Jun 2016,no abstract provided
Sonochemical degradation of perfluorinated chemicals in aqueous film-forming foams,May 2016,"Aqueous film-forming foams (AFFFs) are complex mixtures containing 1-5% w/w fluorocarbons (FCs). Here, we have investigated degradation of two commercial AFFF formulations, 3 M and Ansul, using sound field at 500 kHz and 1 MHz with varying initial concentrations ranging from 200 to 930 x dilution. The foams were readily degraded by 1 MHz, with percentage of defluorination ranging from 11.1 ± 1.4% (200 x dilution of 3 M) to 47.1 ± 5.8% (500 x dilution of Ansul). Removal of total organic carbon (TOC) ranged from 16.0 ± 1.4% (200 x dilution Ansul) to 39.0 ± 7.2% (500 x dilution Ansul). Degradation of AFFF was affected by sound frequency with rates of defluorination 10-fold greater when the frequency was 1 MHz than when it was 500 kHz. Mineralization of TOC was 1.5- to 3.0-fold greater under 1 MHz than 500 kHz. Rate of fluoride release was 60% greater for the greatest initial concentration of FC in Ansul compared to the least initial concentration. While the rate of mineralization of AFFF was directly proportional to the initial concentration of Ansul, that was not the case for 3 M, where the rates of mineralization were approximately the same for all three initial concentrations. Results of the study demonstrate that sonolysis is a promising technology to effectively treat AFFFs."
Biliary Elimination of Pemetrexed Is Dependent on Mrp2 in Rats: Potential Mechanism of Variable Response in Nonalcoholic Steatohepatitis,May 2016,"Hepatic multidrug resistance-associated protein 2 (MRP2) provides the biliary elimination pathway for many xenobiotics. Disruption of this pathway contributes to retention of these compounds and may ultimately lead to adverse drug reactions. MRP2 mislocalization from the canalicular membrane has been observed in nonalcoholic steatohepatitis (NASH), the late stage of nonalcoholic fatty liver disease, which is characterized by fat accumulation, oxidative stress, inflammation, and fibrosis. MRP2/Mrp2 mislocalization is observed in both human NASH and the rodent methionine and choline-deficient (MCD) diet model, but the extent to which it impacts overall transport capacity of MRP2 is unknown. Pemetrexed is an antifolate chemotherapeutic indicated for non-small cell lung cancer, yet its hepatobiliary elimination pathway has yet to be determined. The purpose of this study was to quantify the loss of Mrp2 function in NASH using an obligate Mrp2 transport substrate. To determine whether pemetrexed is an obligate Mrp2 substrate, its cumulative biliary elimination was compared between wild-type and Mrp2(-/-) rats. No pemetrexed was detected in the bile of Mrp2(-/-) rats, indicating pemetrexed is completely reliant upon Mrp2 function for biliary elimination. Comparing the biliary elimination of pemetrexed between MCD and control animals identified a transporter-dependent decrease in biliary excretion of 60% in NASH. This study identifies Mrp2 as the exclusive biliary elimination mechanism for pemetrexed, making it a useful in vivo probe substrate for Mrp2 function, and quantifying the loss of function in NASH. This mechanistic feature may provide useful insight into the impact of NASH on inter-individual variability in response to pemetrexed."
A novel brine precipitation process for higher water recovery,May 2016,"A three-step demineralization process for removing scale-forming substances from brine solutions produced from nanofiltration (NF) of water was developed. The process is designed to remove substances that would lead to scale and membrane fouling during additional stages of NF or reverse osmosis (RO). Tests were performed to determine the most suitable dosages and mixing times for each reagent. The first step in the demineralization process employs ferric chloride for removing phosphonate scale inhibitors via co-precipitation with ferric hydroxide. The second step of the process increases the solution pH value to promote carbonate mineral precipitation. The third step involves barium sulfate precipitation promoted by barite seed crystals. Saturation indices for precipitation of mineral solids were simulated using the Phreeqc thermodynamic modeling program.Water recovery from the treated brines was modeled using the ROSA package for simulating permeate and concentrate compositions for NF processes. The three-step demineralization process allowed the recovery rate for the brine solution to be as high as the initial feed water, and achieved a total water recovery of >97%."
Use of fluorescence EEM to monitor the removal of emerging contaminants in full scale wastewater treatment plants,May 2016,"This study investigated the applicability of different techniques for fluorescence excitation/emission matrices data interpretations, including peak-picking method, fluorescence regional integration and PARAFAC modelling, to act as surrogates in predicting emerging trace organic compounds (ETOrCs) removal during conventional wastewater treatments that usually comprise primary and secondary treatments. Results showed that fluorescence indexes developed using alternative methodologies but indicative of a same dissolved organic matter component resulted in similar predictions of the removal of the target compounds. The peak index defined by the excitation/emission wavelength positions (λex/λem) 225/290 nm and related to aromatic proteins and tyrosine-like fluorescence was determined to be a particularly suitable surrogate for monitoring ETOrCs that had very high removal rates (average removal >70%) (i.e., triclosan, caffeine and ibuprofen). The peak index defined by λex/λem = 245/440 nm and the PARAFAC component with wavelength of the maxima λex/λem = 245, 350/450, both identified as humic-like fluorescence, were found remarkably well correlated with ETOrCs such as atenolol, naproxen and gemfibrozil that were moderately removed (51-70% average removal). Finally, the PARAFAC component with wavelength of the maxima λex/λem = < 240, 315/380 identified as microbial humic-like fluorescence was the only index correlated with the removal of the antibiotic trimethoprim (average removal 68%)."
2016 EST UVH2O2 SI,Apr 2016,no abstract provided
